#Layer	start_x	start_y	end_x	end_y
0	-1.065814E-17	0.0009939538	0	0.000993954
1	0	0.000993954	0.001	0.000993954
2	0.001	0.000893954	0	0.000893954
3	0	0.000893954	-1.065814E-17	0.0008939538
4	-7.105428E-18	0.0007939538	0	0.000793954
5	0	0.000793954	0.001	0.000793954
6	0.001	0.000693954	0	0.000693954
7	0	0.000693954	-7.105428E-18	0.0006939538
8	-5.329071E-18	0.0005939537	0	0.000593954
9	0	0.000593954	0.001	0.000593954
10	0.001	0.000493954	0	0.000493954
11	0	0.000493954	-5.329071E-18	0.0004939538
12	-5.329071E-18	0.0003939537	0	0.000393954
13	0	0.000393954	0.001	0.000393954
14	0.001	0.000293954	0	0.000293954
15	0	0.000293954	-3.552714E-18	0.0002939538
16	-1.776357E-18	0.0001939537	0	0.000193954
17	0	0.000193954	0.001	0.000193954
18	0.001	9.39537E-05	0	9.39538E-05
19	0	9.39538E-05	-8.881785E-19	9.395375E-05
