#Layer	start_x	start_y	end_x	end_y
0	0.000599926	0.01150079	0.000615109	0.01152417
1	0.0006989756	0.01146971	0.0006332836	0.01136855
2	0.000673645	0.01124709	0.0007828426	0.01141525
3	0.0008667097	0.01136078	0.000714006	0.01112564
4	0.0007543669	0.01100418	0.0009505763	0.01130632
5	0.001034444	0.01125185	0.0007947283	0.01088272
6	0.0008350954	0.01076127	0.00111831	0.01119739
7	0.001202178	0.01114293	0.0008754568	0.01063982
8	0.0009158173	0.01051836	0.001286045	0.01108846
9	0.001369911	0.011034	0.0009561786	0.0103969
10	0.0009965401	0.01027545	0.001453778	0.01097953
11	0.001537645	0.01092507	0.001036902	0.01015399
12	0.001081653	0.01003929	0.001621512	0.01087061
13	0.001705379	0.01081614	0.001128833	0.009928336
14	0.001176018	0.009817388	0.001789246	0.01076168
15	0.001873113	0.01070721	0.001223198	0.00970643
16	0.001270379	0.009595474	0.00195698	0.01065275
17	0.002040847	0.01059829	0.001317559	0.009484518
18	0.001364745	0.00937357	0.002124714	0.01054382
19	0.002208582	0.01048936	0.001411924	0.009262612
20	0.001459105	0.009151655	0.002292449	0.0104349
21	0.002376316	0.01038043	0.001506291	0.009040708
22	0.001553471	0.008929752	0.002460182	0.01032597
23	0.002544049	0.0102715	0.00160387	0.008823751
24	0.00165715	0.008722187	0.002627917	0.01021704
25	0.002627917	0.01021704	0.002628084	0.01021729
26	0.002672007	0.01010132	0.00171043	0.008620623
27	0.001763711	0.00851906	0.002720451	0.009992311
28	0.002770778	0.009886201	0.001816996	0.008417504
29	0.001870276	0.008315941	0.002821112	0.0097801
30	0.002871446	0.009674	0.001923556	0.008214378
31	0.001976836	0.008112813	0.002921774	0.00956789
32	0.002972108	0.009461789	0.002030117	0.00801125
33	0.002083396	0.007909686	0.003022433	0.009355694
34	0.003072769	0.009249579	0.002136677	0.007808123
35	0.002189957	0.007706559	0.003123104	0.009143478
36	0.003173431	0.009037369	0.002248052	0.007612409
37	0.002306898	0.007519417	0.003226161	0.008934959
38	0.003282273	0.008837756	0.00236575	0.007426433
39	0.002424601	0.007333449	0.003338381	0.008740545
40	0.003394487	0.008643334	0.002483453	0.007240465
41	0.002542299	0.007147472	0.003450594	0.008546122
42	0.003506707	0.008448921	0.002601151	0.007054488
43	0.002660003	0.006961504	0.003562813	0.00835171
44	0.00361892	0.008254498	0.002718855	0.00686852
45	0.002777701	0.006775528	0.003675032	0.008157296
46	0.003731139	0.008060086	0.002836553	0.006682543
47	0.002895405	0.006589559	0.003787246	0.007962873
48	0.003846827	0.007871014	0.002957906	0.006502194
49	0.003021917	0.006417163	0.003908252	0.007781999
50	0.003969688	0.007692988	0.003085939	0.006332138
51	0.003149959	0.006247112	0.004031114	0.007603972
52	0.004092546	0.007514965	0.003213978	0.006162088
53	0.003277999	0.006077063	0.004153974	0.007425947
54	0.004215408	0.007336938	0.00334202	0.005992038
55	0.003406041	0.005907013	0.004276838	0.00724792
56	0.00433827	0.007158912	0.003470061	0.005821987
57	0.00353408	0.005736963	0.004399696	0.007069896
58	0.004461125	0.006980878	0.003598101	0.005651937
59	0.003662116	0.005566904	0.004524856	0.006895408
60	0.004591267	0.006814066	0.003726796	0.005482893
61	0.003795686	0.005405366	0.004657688	0.006732729
62	0.004724096	0.006651388	0.003864574	0.00532784
63	0.003933464	0.005250312	0.004790512	0.006570054
64	0.004856926	0.006488708	0.004002354	0.005172785
65	0.004071238	0.005095248	0.004923343	0.006407374
66	0.004989754	0.006326031	0.004140127	0.005017721
67	0.004209016	0.004940194	0.005056169	0.006244697
68	0.005122587	0.006163361	0.004277906	0.004862667
69	0.004346799	0.004785138	0.005189002	0.006082016
70	0.005255418	0.006000681	0.004415683	0.004707601
71	0.004484572	0.004630074	0.005326345	0.00592629
72	0.005397489	0.005852235	0.004553461	0.004552546
73	0.004623441	0.004476697	0.005468639	0.005778188
74	0.005539783	0.005704132	0.004696992	0.004406349
75	0.00477053	0.004335998	0.005610919	0.005630083
76	0.005682077	0.005556031	0.004844085	0.004265635
77	0.00491763	0.004195279	0.005753221	0.005481975
78	0.005824366	0.005407921	0.004991177	0.004124922
79	0.005064723	0.004054565	0.005895515	0.005333873
80	0.005966651	0.005259824	0.005138266	0.003984222
81	0.005211821	0.00391386	0.006037804	0.005185762
82	0.006109809	0.005113033	0.005285367	0.003843504
83	0.005358913	0.003773147	0.006185501	0.005045981
84	0.006261198	0.004978936	0.005432459	0.00370279
85	0.005506005	0.003632433	0.006336882	0.004911889
86	0.006412588	0.00484484	0.00557996	0.003562706
87	0.005658027	0.00349931	0.006488279	0.004777788
88	0.006563968	0.00471075	0.005736079	0.003435911
89	0.005814155	0.00337251	0.00663967	0.004643691
90	0.006715358	0.004576652	0.005892207	0.003309111
91	0.005970282	0.00324571	0.006791058	0.004509595
92	0.006866756	0.004442551	0.006048349	0.003182314
93	0.006126402	0.003118915	0.00694244	0.004375504
94	0.007019221	0.004310129	0.006204478	0.003055515
95	0.006282535	0.002992124	0.007099452	0.004250049
96	0.007184047	0.004196723	0.006360597	0.00292872
97	0.006438671	0.002865319	0.007271887	0.004148359
98	0.007362985	0.004105047	0.006516724	0.00280192
99	0.006594799	0.002738519	0.007457583	0.004067091
100	0.00755706	0.004036663	0.006675872	0.002679753
101	0.006757754	0.00262225	0.007660393	0.004012174
102	0.007767943	0.003994197	0.006839658	0.002564745
103	0.006921548	0.002507236	0.007880235	0.003983503
104	0.007997976	0.003981182	0.007003429	0.002449733
105	0.007085328	0.00239222	0.008122094	0.003988718
106	0.008254045	0.004008279	0.007167209	0.002334717
107	0.007249109	0.002277203	0.008396029	0.004043323
108	0.008551403	0.004098954	0.007330998	0.002219695
109	0.007413407	0.002163005	0.008725879	0.004184034
110	0.008944212	0.00433663	0.007499244	0.002111555
111	0.007588941	0.002066088	0.009840481	0.005533147
112	0.009924348	0.005478683	0.007682008	0.002025789
113	0.007778581	0.001990891	0.01000821	0.00542422
114	0.01009208	0.005369756	0.007878883	0.001961716
115	0.007984467	0.001940712	0.01017595	0.005315291
116	0.01025982	0.005260827	0.008094444	0.001926454
117	0.008209405	0.001919869	0.01034368	0.005206364
118	0.01042755	0.0051519	0.008330138	0.001922175
119	0.008457734	0.001935049	0.01051142	0.005097437
